UGAU5451257: 45.432.058/6423-86<->58.505.242/5161-22
PPHJ4983866: 13181kg (88%)
AANJ8918536: 12713kg (88%)
LDQZ8868602: 10341kg (87%)
JJGZ7174118: 12343kg (87%)
UKDU4148641: 10715kg (87%)
IVCZ4532482: 12852kg (86%)
HPHU2279136: 13385kg (85%)
UYJU8897726: 8533kg (85%)
ZXIJ7193932: 10189kg (85%)
ZQOU7458442: 10991kg (85%)
KSQJ5467022: 9764kg (85%)
JLCU0981478: 9322kg (85%)
LJHZ2024896: 12337kg (84%)
BODJ7418572: 12127kg (84%)
HDSU6928875: 11091kg (84%)
FRMZ7047977: 10703kg (83%)
CPWJ5579643: 9835kg (83%)
SMIZ7659915: 9718kg (83%)
ZMIU4954947: 8472kg (83%)
MIWJ0737090: 10155kg (83%)
HSGU0259223: 10724kg (83%)
OIOU7131955: 12691kg (82%)
MHSZ9361301: 11688kg (82%)
GUBZ3641856: 10064kg (82%)
HNWZ4597686: 11423kg (82%)
DYWU0704784: 12005kg (80%)
SXVU0051565: 9817kg (79%)
MNLJ1886309: 9275kg (79%)
LMNJ2857520: 9694kg (79%)
QIZJ4356707: 9161kg (79%)
UUXZ4175394: 9728kg (79%)
TJIU2694109: 8750kg (78%)
XQGU9523424: 12545kg (78%)
YIIU2162641: 10852kg (78%)
NZRJ8297831: 8968kg (78%)
ZLFU8997127: 12514kg (77%)
YVUZ1299136: 8988kg (77%)
JHRZ3146405: 12407kg (76%)
GZNU6199742: 8292kg (76%)
BCUZ1176638: 10601kg (76%)
NJZU3844274: 12250kg (76%)
FHEJ7661125: 9341kg (76%)
XECU3610002: 11638kg (75%)
BSCZ9322967: 10855kg (75%)
JCXZ0170707: 12034kg (75%)
YGPJ7810707: 11278kg (75%)
LJYU5358072: 12086kg (75%)
IGTZ6808972: 7571kg (74%)
DQPJ0331963: 12190kg (74%)
IKBU4728320: 9216kg (74%)
WEFZ3503634: 11306kg (74%)
VAGJ1397345: 9476kg (74%)
IGXJ7652913: 10412kg (74%)
SEWJ4276084: 9609kg (73%)
QHSU0280369: 11865kg (73%)
ITAU3545652: 12593kg (73%)
VUTJ7722786: 8169kg (73%)
YJIJ6161427: 8204kg (73%)
TIKJ2138819: 9667kg (73%)
OIKU8880429: 10993kg (73%)
QJZU3111502: 11087kg (72%)
ODCJ2691410: 8639kg (72%)
RFJU4268210: 10444kg (72%)
SORJ7765006: 12094kg (72%)
UYHJ2254735: 7881kg (71%)
EOFZ3246351: 8750kg (71%)
AMOJ0071517: 11308kg (71%)
UESU8335807: 8964kg (71%)
YDDJ2741145: 11679kg (71%)
MWIU6059351: 9187kg (70%)
VZQZ1153321: 10307kg (70%)
VRIZ1081697: 9330kg (70%)
INVZ6072826: 10039kg (70%)
GZCJ1270875: 9876kg (70%)
IIQU6279765: 9670kg (69%)
TYUZ8806759: 10961kg (69%)
TWWU5475786: 7349kg (69%)
MCMU3309434: 10868kg (69%)
UARU9912611: 10252kg (69%)
SOOJ9425965: 10481kg (68%)
EDNU1523988: 10111kg (68%)
AVRZ7640471: 9630kg (67%)
KUSZ3399033: 9216kg (67%)
WQRZ4349984: 11595kg (67%)
TZKU2079408: 11278kg (66%)
QJQJ6779696: 7524kg (66%)
MQMU6433276: 19866kg (66%)
KFXZ3082413: 19739kg (66%)
RVWJ1739886: 9816kg (66%)
GDRJ5647339: 9615kg (66%)
QGFU2624661: 9052kg (66%)
ZUBJ9278280: 18684kg (65%)
NYEJ6962948: 11072kg (65%)
FHZZ2822053: 8023kg (65%)
FLBU3310676: 18910kg (65%)
TKZJ7887984: 10334kg (65%)
HSSU4566064: 8164kg (65%)
RCYU0798053: 11310kg (65%)
IAEJ1138431: 11722kg (65%)
PCIU2019792: 7670kg (65%)
NXXZ0417782: 18624kg (64%)
EULU4874166: 7814kg (64%)
BBFU9142665: 8056kg (64%)
ESNU7447964: 18672kg (64%)
IOHJ0090514: 10049kg (63%)
ISVU9368857: 18184kg (63%)
RCEU0004418: 18951kg (63%)
NSGJ2667689: 17265kg (63%)
WOVU1027297: 9673kg (63%)
AKEU0203538: 9770kg (63%)
ICPU2467649: 10337kg (63%)
YXMZ8745160: 7795kg (63%)
OBSJ3029821: 10093kg (63%)
WUXJ9447591: 18472kg (62%)
HNXJ2951290: 8173kg (62%)
RWCJ9012661: 9201kg (62%)
QPIZ4831760: 7300kg (62%)
KQSJ2226943: 8159kg (62%)
KCDZ6057263: 17034kg (62%)
MSDJ6304475: 17480kg (62%)
CWJJ8831764: 16332kg (62%)
XGVU8021779: 16897kg (62%)
FIZZ3910420: 18026kg (61%)
SODZ0515568: 7411kg (61%)
HIFZ5154127: 16744kg (61%)
HGMJ4076474: 15736kg (61%)
AUTJ1845209: 8890kg (61%)
EBIJ3664281: 18140kg (61%)
HNYU1222833: 15667kg (61%)
DBFZ5475573: 16070kg (61%)
JRKZ5325144: 16463kg (61%)
CEOU0985286: 9857kg (61%)
YGYU3189090: 17485kg (61%)
ZFNJ3143392: 17587kg (61%)
GEBU7718282: 16953kg (60%)
YFLU3209422: 7258kg (60%)
IESZ2478929: 16352kg (60%)
MFWJ2536676: 10971kg (60%)
POWJ8188912: 17121kg (60%)
TFRU7146692: 11102kg (60%)
UBFZ5928459: 15806kg (60%)
NKHZ8774432: 16961kg (60%)
ZSOJ3498246: 6662kg (60%)
GHLJ3974256: 10349kg (60%)
MEXJ6664779: 17021kg (59%)
BHWU5399480: 9044kg (59%)
XJCZ9032655: 16340kg (59%)
CKTZ4479825: 16557kg (59%)
MUWZ0876728: 17017kg (59%)
ITKJ6824489: 10570kg (59%)
EDQU9050812: 14368kg (59%)
BSMU1447044: 15600kg (59%)
BOGU6591570: 15491kg (59%)
FEUJ8114101: 15462kg (59%)
BYSZ5942106: 16604kg (58%)
TRSU2998821: 15305kg (58%)
XMCU7368784: 11039kg (58%)
RAOJ8195666: 16157kg (58%)
BZNZ4723976: 15597kg (58%)
KNVJ9807638: 10399kg (58%)
DMYZ1196752: 15932kg (58%)
JSMZ7832277: 14771kg (58%)
ZPRU0131051: 8037kg (58%)
HBQJ0593525: 10572kg (58%)
JXXJ8542249: 13892kg (58%)
MTIU7436046: 8423kg (57%)
MAZZ8286745: 16299kg (57%)
MEUJ1138269: 16667kg (57%)
YFIZ7611432: 14922kg (57%)
BGCU7589958: 16107kg (57%)
EMXU1583187: 8710kg (57%)
TEBZ5476687: 14737kg (57%)
GVLZ1844550: 9701kg (57%)
ROTJ4209385: 8841kg (57%)
ZFWJ2376266: 16295kg (57%)
LJZZ5085955: 15066kg (57%)
EXCZ7613480: 17167kg (57%)
DVWZ7381792: 15814kg (56%)
PPOJ5951898: 12586kg (56%)
WFJZ9854236: 6193kg (56%)
AUUJ6951105: 15327kg (56%)
UVZJ7572691: 6128kg (56%)
WRVU3697669: 14140kg (56%)
IBBZ4019067: 10258kg (56%)
ZMIZ5843598: 14087kg (56%)
OJKU6095918: 14459kg (56%)
TTIZ5102770: 8969kg (56%)
BRSZ7912930: 15003kg (56%)
LQPU7829845: 8375kg (56%)
TQYJ7291399: 7431kg (56%)
URKU3359567: 16697kg (56%)
QPAJ7058117: 13458kg (56%)
YTRZ4224632: 16352kg (56%)
IGAZ0733366: 10597kg (56%)
AXEZ7953047: 14112kg (55%)
GQJZ2829500: 13823kg (55%)
MABU1429505: 13156kg (55%)
FIHJ0412445: 15590kg (55%)
RAPJ9465711: 13415kg (55%)
UTAZ1791206: 10025kg (55%)
TDCJ3217739: 9524kg (55%)
JADU4592579: 14009kg (55%)
GUSZ7167714: 9910kg (54%)
SBJJ1891015: 15870kg (54%)
VZTJ4722775: 16156kg (54%)
YPLJ1846028: 15000kg (54%)
PXTU8710228: 14641kg (54%)
EYZU5096938: 8254kg (54%)
KBVJ4983447: 14829kg (54%)
DRZZ7730848: 8209kg (54%)
YKSZ8908694: 6024kg (54%)
HQJU2090562: 8216kg (54%)
EARU1681194: 15328kg (54%)
DPYJ9349419: 7253kg (54%)
HZTZ5638712: 7018kg (54%)
EQBU3692959: 7738kg (54%)
QDHU1940766: 7743kg (54%)
GDCU4027722: 12029kg (54%)
YHXZ5261164: 12842kg (54%)
GAGJ0341732: 7320kg (54%)
QLJU4138073: 15544kg (54%)
NYWU4076794: 12154kg (54%)
OSDJ7169536: 5457kg (53%)
QIGJ5980942: 7404kg (53%)
PDUJ3217723: 13744kg (53%)
BMCJ3444211: 5875kg (53%)
SWMJ5931904: 15025kg (53%)
QXLJ9708126: 7201kg (53%)
PXBJ8962274: 15226kg (53%)
OTSJ2180496: 9055kg (53%)
UMNJ3539739: 9350kg (53%)
UISJ4250625: 8569kg (53%)
IGXJ1592799: 14177kg (53%)
TOCU0361043: 6716kg (53%)
KRIU5144772: 9813kg (53%)
YZFZ0295570: 15712kg (53%)
NYSU1517763: 11999kg (53%)
ECPZ0952827: 7235kg (53%)
NIHJ0614076: 13254kg (53%)
UHZZ8358550: 8688kg (53%)
HMAJ0683719: 5952kg (53%)
WUHU8393156: 8236kg (52%)
UXZU1359259: 10258kg (52%)
OQBU8456057: 13246kg (52%)
TVEZ3995637: 12608kg (52%)
NXZU3529353: 9635kg (52%)
HUEJ7589581: 8746kg (52%)
HCNU5488242: 14298kg (52%)
JSAJ1976115: 11186kg (52%)
CKKU7559980: 9491kg (52%)
IEFJ7819509: 12598kg (52%)
CKLJ2643463: 14925kg (52%)
UNRU4971918: 12575kg (52%)
OMZJ6761914: 14104kg (52%)
BJUJ8292598: 13241kg (52%)
JEBU0247608: 8862kg (52%)
PXCZ0792188: 10994kg (52%)
TZGZ9762959: 13413kg (52%)
AZKU3254745: 6443kg (52%)
HYUU8355876: 13338kg (52%)
CNDJ4543756: 14946kg (51%)
NOXJ2893833: 14309kg (51%)
HZFU0413456: 15279kg (51%)
UGGU7185837: 14031kg (51%)
EYQJ2558816: 12610kg (51%)
GREU9269286: 14643kg (51%)
EAEJ8816397: 13638kg (51%)
KFUJ6650385: 6745kg (51%)
FTEJ0129256: 11475kg (51%)
SAOU7401201: 12849kg (51%)
CXEJ0281248: 8701kg (51%)
BLTJ0674629: 14139kg (51%)
GMMU9917613: 7069kg (51%)
LLGU1961929: 13698kg (51%)
ICNU1239160: 8829kg (51%)
XZZZ9877087: 13339kg (50%)
VEJZ1124415: 13125kg (50%)
PYZJ2652925: 8792kg (50%)
JPLZ3214979: 13890kg (50%)
DBFJ9914428: 14411kg (50%)
CNAZ4603370: 8937kg (50%)
VMUU1528885: 11213kg (50%)
XIJU9520536: 8801kg (50%)
WZKZ8778440: 9185kg (50%)
GVEZ5999760: 9157kg (50%)
OXNU0006878: 12735kg (50%)
THWJ9439757: 11390kg (50%)
IGKJ4463750: 9674kg (49%)
OJEU8109625: 12910kg (49%)
FCWZ7620713: 12853kg (49%)
TQKJ5253362: 6701kg (49%)
BUAZ0911245: 10061kg (49%)
ITDJ8927279: 8492kg (49%)
PWEZ9356334: 10648kg (49%)
ZHYJ2490887: 13079kg (49%)
PSNJ2105124: 11916kg (49%)
GQNU9862615: 9680kg (49%)
FYXU1373515: 11480kg (49%)
HLLZ6062128: 10843kg (49%)
LMVZ4903716: 5433kg (49%)
KPQZ1762996: 13303kg (49%)
VKYZ8205917: 10878kg (48%)
TLAU3186315: 5996kg (48%)
XNUU4964927: 7564kg (48%)
CUXU5998839: 11642kg (48%)
QNBU5822176: 9516kg (48%)
MWLU0305009: 7135kg (48%)
BNPZ4378465: 8414kg (48%)
THNJ4195070: 11014kg (48%)
HPJU2754022: 12915kg (48%)
CQHJ7981985: 6218kg (48%)
CCSJ4043620: 10705kg (48%)
XWKU2542097: 12862kg (48%)
UXFU9519426: 5855kg (48%)
EUKJ0208233: 13395kg (48%)
AWFU4868839: 10758kg (48%)
FMQU9564248: 8168kg (48%)
EYOJ2949553: 6161kg (48%)
JYOU5956337: 10908kg (48%)
DADU3633006: 9026kg (48%)
PZCZ7400826: 12521kg (48%)
QMFJ4558161: 11318kg (47%)
RNMZ2648582: 8763kg (47%)
TJNU5912994: 8611kg (47%)
WVJZ9763384: 7596kg (47%)
ZZXZ7056197: 10148kg (47%)
WXLU6243942: 7813kg (47%)
ZXSJ7281001: 13174kg (47%)
XHRZ7734043: 5192kg (47%)
DSZZ5326985: 6340kg (47%)
HYNU7548271: 7168kg (47%)
IAJJ9305321: 7562kg (47%)
TDIJ7463327: 12380kg (46%)
PBBZ7025401: 4799kg (46%)
SDDJ4245828: 13421kg (46%)
OHYZ4093360: 8443kg (46%)
HBWZ9134460: 10975kg (46%)
GPUZ7729500: 6946kg (46%)
CDHJ1593024: 13632kg (46%)
IXUU8876122: 10403kg (46%)
HLAU8726551: 8714kg (46%)
WMFU9449600: 4972kg (46%)
MWJU2181958: 8867kg (46%)
QQFJ3631803: 13750kg (46%)
GXQU5606758: 9589kg (46%)
GQNZ2109995: 13351kg (46%)
RPFZ6545812: 10784kg (46%)
VRLU1863832: 6012kg (46%)
TDHJ6867736: 12939kg (46%)
ODQU6937277: 5660kg (46%)
SQOU2299276: 13585kg (46%)
PHCU3026119: 8408kg (46%)
UAAJ2185413: 5307kg (46%)
QHWZ5864091: 10105kg (46%)
OYJJ5462021: 13228kg (46%)
NKKJ7238220: 7960kg (46%)
YVYU4586790: 5031kg (46%)
PRNU7768448: 12779kg (45%)
UIYZ7265273: 6087kg (45%)
UKDJ5158178: 12513kg (45%)
LMNJ1065505: 8656kg (45%)
HVCU9989311: 8564kg (45%)
SGOU1271502: 9279kg (45%)
TLOU8423253: 13220kg (45%)
HJWZ9444022: 9348kg (45%)
IIKJ9260798: 11967kg (45%)
FFFU7142641: 8881kg (45%)
ISWZ2278719: 10427kg (45%)
FSBJ6316142: 8112kg (45%)
KBEU8746724: 6776kg (45%)
ZIEZ6025028: 12140kg (45%)
KFXU2751854: 12729kg (45%)
OCQU3355125: 7292kg (45%)
VCLZ8693373: 12479kg (45%)
BJDZ4373754: 9167kg (45%)
RVLZ5071019: 10141kg (44%)
RDGU4366224: 12699kg (44%)
BIPU0662676: 11362kg (44%)
HGNU8014553: 8992kg (44%)
VAMU1761386: 11385kg (44%)
XHSJ1365314: 8673kg (44%)
BEEZ4226517: 11082kg (44%)
QLEZ4378119: 12854kg (44%)
PITJ3811220: 5956kg (44%)
ESFU8764505: 7769kg (44%)
XEEU3785721: 13063kg (44%)
JIVJ2096749: 5363kg (44%)
QPHJ2001710: 11281kg (44%)
PRZU0810851: 11798kg (44%)
YPFZ6934155: 8602kg (44%)
ILWJ7196244: 8704kg (44%)
AEFZ9704504: 11133kg (44%)
QQYZ3905231: 7953kg (44%)
MYLJ9623729: 12878kg (44%)
QRHU3410100: 6117kg (44%)
LBPJ1519018: 7910kg (44%)
PIXU2858874: 8667kg (44%)
XAVZ1433992: 6442kg (44%)
HLFU2441222: 8717kg (44%)
MHHU7248112: 11539kg (43%)
QQDZ3111807: 10453kg (43%)
QOSU6464235: 8669kg (43%)
HGKJ6882930: 10617kg (43%)
JSQZ4746751: 8840kg (43%)
QLCZ5438122: 11955kg (43%)
QRLU5895625: 8693kg (43%)
UWHJ9494651: 8139kg (43%)
QPIZ5548625: 9934kg (43%)
UVGZ4714880: 4730kg (43%)
PJKZ5029373: 11572kg (43%)
SNLJ9968305: 8075kg (43%)
DGQU0503639: 9099kg (43%)
RDYZ7207093: 8039kg (43%)
AJXZ9628440: 11742kg (43%)
SRCZ0547245: 10906kg (43%)
WCNZ8672428: 8552kg (43%)
KUWJ8818152: 8152kg (43%)
RHLU3665713: 10979kg (43%)
QULU6596195: 5008kg (43%)
AZVZ8079578: 7721kg (43%)
LQEZ8322476: 12231kg (43%)
ALYZ1282384: 7306kg (43%)
HZYJ8854656: 8109kg (43%)
BVKZ8681693: 12350kg (43%)
ABVJ0189042: 7742kg (43%)
OUYU6497917: 10782kg (43%)
ZTEJ8585589: 10680kg (43%)
AREU0602042: 10501kg (43%)
YQWU4567204: 6981kg (43%)
HETU9660837: 8843kg (43%)
UAXU6783259: 12513kg (42%)
DYKU2471861: 9765kg (42%)
SRJJ2008331: 5297kg (42%)
JBOU9878345: 10604kg (42%)
PZZZ5375330: 9547kg (42%)
CCJZ0997014: 7984kg (42%)
PKKJ9979207: 10423kg (42%)
JNLU4377792: 8250kg (42%)
IBVU1190253: 7681kg (42%)
IKQJ0287263: 6062kg (42%)
ATJZ3240436: 8157kg (42%)
KDNU5077320: 7390kg (42%)
BAMJ1580606: 12480kg (42%)
NSQJ3432924: 8143kg (42%)
WIOU1561156: 8928kg (42%)
MFXU3789272: 11827kg (42%)
UGKU0874646: 7161kg (42%)
NNLZ3003420: 8009kg (42%)
SAVZ6456156: 4764kg (42%)
BHSJ7285947: 10825kg (42%)
HPCJ0790443: 9309kg (42%)
VDJZ0314640: 12437kg (42%)
VFTU0889892: 5270kg (42%)
RVEZ0409120: 7553kg (42%)
FJYU9829268: 8737kg (42%)
RSRZ2458021: 5309kg (41%)
WJEJ9831372: 6004kg (41%)
DCVZ5245852: 7003kg (41%)
EHQU5023172: 10413kg (41%)
AOAU3539480: 9582kg (41%)
FOVU4439425: 11722kg (41%)
PGCU6926970: 9654kg (41%)
SWHJ9912847: 9059kg (41%)
UFIJ0451207: 7885kg (41%)
OOVU8956024: 11992kg (41%)
TNAU5112557: 11019kg (41%)
PLWJ4413969: 4328kg (41%)
QXZU9836878: 12393kg (41%)
GEJJ1387307: 8538kg (41%)
TQMZ0072732: 11773kg (41%)
MBJJ9721866: 8036kg (41%)
DAKJ7872532: 12061kg (41%)
NKGU9983094: 9365kg (41%)
LALJ4574572: 5780kg (40%)
PFAJ4742672: 10561kg (40%)
HDDU4467116: 8323kg (40%)
DVGU1732742: 10569kg (40%)
SEHU3117479: 4620kg (40%)
PCOU1371924: 4826kg (40%)
HCEU4259458: 7706kg (40%)
IYUU9075102: 7690kg (40%)
WNHU7636175: 9996kg (40%)
RXHJ8479905: 7995kg (40%)
FZOZ5652816: 12092kg (40%)
BRNU2865000: 8384kg (40%)
PIQJ5793144: 8697kg (40%)
LALU0909092: 10390kg (40%)
RNUU3886943: 7895kg (40%)
TDLU5402750: 4116kg (40%)
PBEJ6767870: 8187kg (40%)
VIGU6042872: 7388kg (40%)
XYZJ0707824: 8256kg (39%)
NICJ6626083: 9118kg (39%)
TYEU5893029: 4069kg (39%)
CMPJ2619257: 11234kg (39%)
FBZZ4131075: 10874kg (39%)
YQUJ5820510: 11714kg (39%)
ZXWJ7275040: 11049kg (39%)
GREZ1283232: 7830kg (39%)
BBPZ2344732: 7691kg (39%)
CBSJ2926259: 6577kg (39%)
ZMEU1976847: 11107kg (39%)
USKU1881416: 10857kg (39%)
TONJ7325875: 4699kg (39%)
CLGU4944096: 9825kg (39%)
HSCZ2557861: 7085kg (39%)
CHFZ6353099: 8763kg (39%)
LOPJ0607280: 9180kg (39%)
AQZZ5452905: 10543kg (39%)
RTWZ9463889: 5657kg (39%)
CQCJ3573120: 11732kg (39%)
VWBZ9121830: 7373kg (39%)
CWJJ4758713: 7148kg (39%)
QRTU9043446: 7872kg (39%)
IKCJ1913987: 8953kg (39%)
NISZ6417482: 9590kg (39%)
ZLRJ0118602: 7820kg (39%)
CHZJ3056730: 9995kg (38%)
NDGJ7883009: 7351kg (38%)
OKDJ4628516: 5973kg (38%)
GRGU0676274: 9279kg (38%)
GKCZ0506717: 7653kg (38%)
CBTJ0975148: 5282kg (38%)
AOOZ3026559: 7454kg (38%)
DUPU1479450: 7201kg (38%)
EFAJ4145516: 9385kg (38%)
CIOU7778677: 9623kg (38%)
SYWJ2853251: 6092kg (38%)
HJVJ6156894: 4902kg (38%)
NFNU8238132: 11386kg (38%)
CWQU3229563: 8173kg (37%)
BMWZ6703881: 9998kg (37%)
ODEZ1635369: 7865kg (37%)
UJVZ7960053: 6866kg (37%)
WLCU1698652: 7089kg (37%)
BUEZ6189305: 10906kg (37%)
RIWZ0060083: 6881kg (37%)
HECU8257997: 6426kg (37%)
QPQU8571704: 5276kg (37%)
LTEZ4763451: 5583kg (37%)
TYWU3593458: 10252kg (37%)
BXIU8709596: 6496kg (37%)
CWSZ2451078: 10961kg (37%)
AEDZ3893299: 6227kg (37%)
HJNJ7671491: 8173kg (37%)
OSTZ4362310: 6389kg (37%)
OTDZ9018617: 9991kg (37%)
RXOJ2550528: 7080kg (37%)
INPJ8459309: 7591kg (36%)
YGEU5993846: 6173kg (36%)
FXPZ5100839: 6419kg (36%)
NLMZ9898443: 6900kg (36%)
MKUZ7610973: 10722kg (36%)
APIZ0949573: 10913kg (36%)
DUBJ0812504: 7000kg (36%)
FVGU4950690: 5756kg (36%)
BZOU5454812: 9615kg (36%)
VDSJ1722749: 7081kg (36%)
EJFZ7922120: 9945kg (36%)
PGFZ4207601: 7179kg (36%)
STIJ9518109: 4813kg (36%)
XOPZ8221709: 9993kg (36%)
OKDU2448261: 7509kg (36%)
RLQJ4123178: 9184kg (36%)
ARZZ9284665: 8515kg (36%)
XOCZ5407884: 8214kg (36%)
UIZJ5312747: 8141kg (36%)
EBWJ1195638: 9996kg (36%)
CKUU2809253: 7769kg (36%)
ZTWJ7589393: 9763kg (36%)
IVKU7827857: 8790kg (36%)
NUKU3850201: 6625kg (36%)
SCZZ6719774: 5156kg (36%)
AHOZ2402244: 9612kg (36%)
PPOZ4748462: 10368kg (36%)
UQWU1875361: 7829kg (35%)
VRYZ7607850: 6060kg (35%)
AUOU3867225: 7095kg (35%)
CVKU7991343: 6011kg (35%)
YUIZ3320591: 7589kg (35%)
SGGU3099143: 10153kg (35%)
AMQZ5682616: 7040kg (35%)
BSRZ3872580: 8348kg (35%)
TNJZ1012133: 10275kg (35%)
JNQZ9710425: 5876kg (35%)
ITTZ6319312: 7343kg (35%)
KJVZ9317195: 5251kg (35%)
ELNU0568371: 10535kg (35%)
FRCZ8909887: 8133kg (35%)
QYSZ7996403: 9412kg (34%)
DRYU3236398: 5480kg (34%)
MHAU0472155: 4824kg (34%)
GBIJ5729715: 5700kg (34%)
UFDZ0851168: 10028kg (34%)
SJMJ1831156: 5834kg (34%)
OWNU6986689: 5633kg (34%)
IHTU9147265: 3654kg (34%)
HUEU5840278: 5720kg (34%)
DHFZ9557372: 7504kg (34%)
OVSJ0649244: 8194kg (34%)
GBOZ0082780: 7150kg (34%)
MSNZ2456765: 3910kg (34%)
ZYQU1463391: 5396kg (34%)
FIJJ2592550: 5910kg (34%)
LNBZ7790565: 9163kg (34%)
KRIJ3768572: 6359kg (34%)
ZHZU3529611: 5482kg (33%)
IWHJ7629013: 5099kg (33%)
OJNU2141370: 3763kg (33%)
QFIU8680260: 9213kg (33%)
UGFJ7207810: 7270kg (33%)
WRZJ8328004: 7608kg (33%)
GOYU6939849: 6131kg (33%)
NFMU7204548: 5223kg (33%)
IWLZ7809914: 6207kg (33%)
FXSU4215807: 5590kg (33%)
BCFZ5864433: 8046kg (33%)
CARZ5223906: 7397kg (33%)
PWRU4014537: 5776kg (33%)
IATU8891052: 5761kg (33%)
TPSU3467641: 9812kg (33%)
PFSU8787463: 7700kg (33%)
EOUZ1672664: 5860kg (33%)
RSYU5133807: 7035kg (33%)
YTEU2048813: 9259kg (33%)
HWSJ4126372: 9426kg (33%)
BOWZ6042111: 3532kg (33%)
XWLU3271147: 5379kg (33%)
KODZ1612962: 4659kg (33%)
RWEJ0552192: 9359kg (33%)
EGGJ2838705: 6422kg (33%)
RLIJ3714920: 7592kg (32%)
TRFJ1684124: 6254kg (32%)
LEBU4854879: 8053kg (32%)
PUKU1003494: 7148kg (32%)
GDHJ2548980: 7308kg (32%)
UWYJ0787344: 5557kg (32%)
NRRZ5710396: 6106kg (32%)
QVNU9520275: 6755kg (32%)
KSDZ0225163: 4077kg (32%)
LKZJ2767808: 7676kg (32%)
RMJJ7587856: 6692kg (32%)
AMZU1477034: 6906kg (32%)
HZMZ1974266: 5740kg (32%)
FLXU1542041: 3437kg (32%)
XVDU8031792: 5371kg (32%)
HJLZ8701841: 5315kg (31%)
XFCU7937506: 5498kg (31%)
NBUU3519822: 8556kg (31%)
XZKJ6779341: 7978kg (31%)
YLIJ2329515: 5432kg (31%)
GQTJ6092531: 9235kg (31%)
RNXZ3582509: 5529kg (31%)
JTAU5132540: 7305kg (31%)
NDIJ2339390: 5700kg (31%)
RJKJ2432115: 7804kg (31%)
DUKZ0463969: 5173kg (31%)
PAEJ5521755: 7755kg (31%)
BBOZ7887912: 6406kg (31%)
RQSJ2129013: 8540kg (31%)
ZADU1361498: 6514kg (31%)
SNOJ7381496: 5420kg (31%)
UADZ4304796: 9408kg (31%)
XCPJ3430858: 4710kg (31%)
DFIU8634266: 9070kg (31%)
HOHZ4141296: 4630kg (31%)
HSIZ5239292: 5013kg (31%)
YVWU2788739: 7115kg (31%)
EIWU2391347: 7248kg (31%)
GTOJ0074360: 4631kg (31%)
XIXU2688999: 8000kg (30%)
DMEU4907639: 6188kg (30%)
GEPU0910508: 6042kg (30%)
LXJZ9345720: 5063kg (30%)
GDRJ5596151: 8635kg (30%)
WVPJ0516621: 4763kg (30%)
MDVJ4632583: 5037kg (30%)
PQCU1078362: 6055kg (30%)
KPOZ7552422: 3789kg (30%)
SPBU8770446: 6978kg (30%)
VMZU0248969: 6321kg (30%)
ETZZ7618055: 5375kg (30%)
TOKJ0380936: 6009kg (30%)
CEVU0087458: 7991kg (30%)
VTPU4339062: 8632kg (30%)
NPFU5432091: 4999kg (30%)
HVDU2718431: 4790kg (30%)
DKAJ3629953: 4523kg (30%)
GSFJ1366954: 8067kg (30%)
DHIJ8314383: 7590kg (30%)
WZSZ1887806: 6620kg (30%)
DPMZ1031368: 5976kg (30%)
RWRZ9642576: 6248kg (30%)
BMTU1138998: 7009kg (29%)
AIJJ4183604: 7061kg (29%)
GNEJ4377573: 8696kg (29%)
NJQZ5391322: 8787kg (29%)
FKTZ5348896: 3661kg (29%)
CKVU3357534: 4282kg (29%)
RZJJ9470626: 8510kg (29%)
LZDZ0602988: 5723kg (29%)
GMFJ7168593: 6475kg (29%)
HZEU3368070: 5347kg (29%)
BKEZ5579630: 5545kg (29%)
CIPU0642663: 6278kg (29%)
WKCJ4443410: 8381kg (29%)
AYBZ7308719: 5532kg (29%)
PRVZ6866545: 7655kg (29%)
GYYJ5508006: 5980kg (29%)
MYFU4366804: 8306kg (29%)
YZKJ7313227: 7786kg (29%)
RWYU7165042: 3425kg (29%)
XLXJ3787134: 7569kg (29%)
WLRZ1001609: 8044kg (29%)
UOMJ5288493: 8027kg (29%)
OWYU2193326: 2943kg (29%)
VESZ7628357: 6744kg (29%)
IGMJ6252097: 3173kg (28%)
YUVU1455125: 3580kg (28%)
QELJ6584636: 7445kg (28%)
HVAU7526284: 5372kg (28%)
YFUJ3449778: 5886kg (28%)
WFHJ2977057: 7000kg (28%)
IRVU6380388: 8253kg (28%)
SYKZ0243866: 5244kg (28%)
YMRZ4135248: 6779kg (28%)
PJQU0734682: 7255kg (28%)
QZTZ5458394: 5321kg (28%)
YIJU3971101: 6315kg (28%)
KFRZ4885040: 5550kg (28%)
KEOU0060228: 8069kg (28%)
NLEU0721684: 6778kg (28%)
IWDU5196112: 4469kg (28%)
UIWZ3543737: 6179kg (28%)
MOOU7485849: 4351kg (28%)
AICJ7040797: 6251kg (28%)
JYOU7629354: 6139kg (28%)
JBEJ6584446: 4360kg (28%)
TKQJ8251875: 5744kg (28%)
TCFJ3210548: 6045kg (28%)
WYLJ6815246: 4018kg (28%)
KOGZ8945169: 3882kg (28%)
XQNJ6712441: 4989kg (28%)
ECDU9466989: 5506kg (28%)
BYLJ2186605: 4583kg (28%)
KZMU3310979: 7619kg (27%)
JLQJ9324976: 6062kg (27%)
NPGZ6680820: 6807kg (27%)
IQWJ8959070: 5054kg (27%)
HDWJ2444140: 7624kg (27%)
